Time_PnL	PnL
09:00:00.553	0.0
09:07:12.104	30.0
09:09:24.255	60.0
09:25:09.180	3490.0
09:25:09.252	60.0
09:25:09.537	3490.0
09:25:19.516	3560.0
09:33:01.865	3620.0
09:33:01.865	3710.0
09:33:01.865	3780.0
09:33:01.865	3850.0
09:33:01.865	3900.0
09:33:01.887	3960.0
09:33:01.887	3970.0
09:33:02.658	4270.0
09:33:02.658	4300.0
09:33:02.658	4350.0
09:33:02.658	4400.0
09:33:02.659	4430.0
09:33:02.659	4440.0
09:33:03.997	4480.0
09:33:04.511	4490.0
09:33:04.899	4510.0
09:33:04.973	4520.0
09:33:32.102	4680.0
09:33:32.103	4740.0
09:33:32.103	4750.0
09:33:32.139	4760.0
09:33:32.160	5010.0
09:33:52.200	5020.0
09:34:07.517	5030.0
09:34:07.517	5070.0
09:34:07.517	5080.0
09:34:07.517	5130.0
09:34:07.517	5180.0
09:34:07.517	5200.0
09:34:07.517	5230.0
09:34:07.517	5260.0
09:34:07.517	5270.0
09:34:07.543	5520.0
09:34:16.373	5620.0
09:34:16.373	5630.0
09:34:16.373	5690.0
09:34:16.374	5700.0
09:34:16.374	5710.0
09:34:25.109	5720.0
09:34:30.299	5970.0
09:35:10.653	5990.0
09:35:10.661	6000.0
09:35:10.689	6010.0
09:35:10.705	6060.0
09:35:10.734	6080.0
09:35:10.734	6140.0
09:35:10.759	6170.0
09:35:10.763	6180.0
09:35:10.868	6230.0
09:35:11.814	6250.0
09:35:11.818	6260.0
09:35:11.825	6270.0
09:35:11.825	6280.0
09:35:11.825	6290.0
09:35:11.825	6300.0
09:35:11.935	6410.0
09:35:11.935	6420.0
09:35:14.107	6590.0
09:35:21.708	6840.0
09:35:22.073	6860.0
09:35:25.630	6920.0
10:15:42.853	-9620.0
10:48:36.957	-36160.0
11:01:21.118	-72700.0
11:05:28.956	-119240.0
11:28:46.175	-175780.0
11:50:47.704	-242320.0
12:11:56.907	-318860.0
12:40:26.904	-405400.0
12:58:46.899	-501940.0
13:18:52.447	-501990.0
13:18:52.447	-502040.0
13:18:52.447	-502090.0
13:18:52.447	-502140.0
13:18:52.447	-502170.0
13:18:52.447	-502190.0
13:18:52.447	-502210.0
13:18:52.447	-502240.0
13:18:52.447	-502270.0
13:18:52.447	-502320.0
13:18:52.447	-502350.0
13:18:52.447	-502410.0
13:18:52.447	-502510.0
13:18:52.447	-502550.0
13:18:52.447	-502610.0
13:18:52.447	-502670.0
13:18:52.447	-502730.0
13:18:52.447	-502790.0
13:18:52.447	-502850.0
13:18:52.447	-502880.0
13:18:52.447	-502910.0
13:18:52.447	-502950.0
13:18:52.447	-502970.0
13:18:52.447	-503000.0
13:18:52.447	-503200.0
13:18:52.447	-503300.0
13:18:52.447	-503320.0
13:18:52.447	-503340.0
13:18:52.447	-503400.0
13:18:52.447	-503500.0
13:18:52.447	-503520.0
13:18:52.447	-503620.0
13:18:52.447	-504320.0
13:18:52.447	-504380.0
13:18:52.447	-504440.0
13:18:52.447	-504500.0
13:18:52.447	-504700.0
13:18:52.447	-504720.0
13:18:52.447	-504740.0
13:18:52.447	-504840.0
13:18:52.447	-505080.0
13:18:52.447	-505340.0
13:18:52.447	-505580.0
13:18:52.447	-505820.0
13:18:52.447	-506080.0
13:18:52.447	-506100.0
13:18:52.447	-506120.0
13:18:52.447	-506240.0
13:18:52.447	-506740.0
13:18:52.447	-506800.0
13:18:52.447	-506880.0
13:18:52.447	-506920.0
13:18:52.447	-506980.0
13:18:52.447	-507010.0
13:18:52.447	-507310.0
13:18:52.447	-507460.0
13:18:52.447	-510460.0
13:18:52.447	-510550.0
13:18:52.447	-510670.0
13:18:52.447	-510700.0
13:18:52.447	-510820.0
13:18:52.447	-510940.0
13:18:52.447	-511030.0
13:18:52.447	-511120.0
13:18:52.447	-511180.0
13:18:52.447	-511270.0
13:18:52.447	-511470.0
13:18:52.447	-511670.0
13:18:52.447	-511870.0
13:18:52.447	-511990.0
13:18:52.447	-512030.0
13:18:52.447	-512070.0
13:18:52.447	-512150.0
13:18:52.447	-512230.0
13:18:52.447	-512280.0
13:18:52.447	-512530.0
13:18:52.447	-512680.0
13:18:52.447	-512830.0
13:18:52.447	-512880.0
13:18:52.447	-512980.0
13:18:52.447	-513230.0
13:18:52.447	-513530.0
13:18:52.447	-513830.0
13:18:52.447	-514010.0
13:18:52.447	-514310.0
13:18:52.447	-514490.0
13:18:52.447	-514550.0
13:18:52.447	-514670.0
13:18:52.447	-514730.0
13:18:52.447	-514790.0
13:18:52.447	-515510.0
13:18:52.447	-515860.0
13:18:52.447	-515930.0
13:18:52.447	-516140.0
13:18:52.447	-516540.0
13:18:52.447	-516940.0
13:18:52.447	-517340.0
13:18:52.447	-517580.0
13:18:52.447	-517980.0
13:18:52.447	-518060.0
13:18:52.447	-518300.0
13:18:52.447	-518460.0
13:18:52.447	-518700.0
13:18:52.447	-518780.0
13:18:52.447	-518940.0
13:18:52.447	-519390.0
13:18:52.447	-519480.0
13:18:52.447	-519980.0
13:18:52.447	-520180.0
13:18:52.447	-520380.0
13:18:52.447	-520930.0
13:18:52.447	-521590.0
13:18:52.447	-521710.0
13:18:52.447	-522310.0
13:18:52.447	-522550.0
13:18:52.447	-523200.0
13:18:52.447	-526450.0
13:18:52.447	-527750.0
13:18:52.447	-528400.0
13:18:52.447	-529050.0
13:18:52.447	-529750.0
13:18:52.447	-530500.0
13:18:52.447	-530980.0
13:18:52.447	-531620.0
13:18:52.447	-532420.0
13:18:52.447	-533220.0
13:18:52.447	-534070.0
13:18:52.447	-534970.0
13:18:52.447	-535870.0
13:18:52.447	-540370.0
13:18:52.447	-541270.0
13:18:52.447	-541990.0
13:18:52.447	-542350.0
13:18:52.447	-560350.0
13:18:52.447	-560710.0
13:18:52.447	-569710.0
13:18:52.447	-570790.0
13:18:52.447	-570970.0
13:18:52.447	-571870.0
13:18:52.447	-572410.0
13:18:52.447	-572590.0
13:18:52.447	-584290.0
13:18:52.447	-587590.0
13:18:52.447	-588910.0
13:18:52.447	-590010.0
13:18:52.447	-593460.0
13:18:52.447	-596910.0
13:18:52.447	-598060.0
13:18:52.447	-598300.0
13:18:52.447	-602500.0
13:18:52.447	-603900.0
13:18:52.447	-605020.0
13:18:52.447	-606420.0
13:18:52.447	-606700.0
13:18:52.447	-607260.0
13:18:52.447	-608660.0
13:18:52.447	-610060.0
13:18:52.447	-621660.0
13:18:52.447	-624860.0
13:18:52.447	-626180.0
13:18:52.447	-694180.0
13:18:52.447	-694520.0
13:18:52.447	-698700.0
13:18:52.447	-702500.0
13:18:52.447	-704400.0
13:18:52.447	-704830.0
13:18:52.447	-706980.0
13:18:52.447	-707940.0
13:18:52.447	-710340.0
13:18:52.447	-710820.0
13:18:52.447	-727970.0
13:18:52.447	-729470.0
13:18:52.447	-734770.0
13:18:52.447	-737470.0
13:18:52.447	-740370.0
13:18:52.447	-742690.0
13:18:52.447	-748490.0
13:18:52.447	-749790.0
13:18:52.447	-756490.0
13:18:52.447	-759840.0
13:18:52.447	-760520.0
13:18:52.447	-794520.0
13:18:52.447	-801320.0
13:18:52.447	-804720.0
13:18:52.447	-808120.0
13:18:52.447	-811520.0
13:18:52.447	-814920.0
13:18:52.447	-818320.0
13:18:52.447	-821720.0
13:18:52.447	-825120.0
13:18:52.447	-828520.0
13:18:52.447	-831920.0
13:18:52.447	-838720.0
13:18:52.447	-906720.0
13:18:52.447	-920320.0
13:18:52.447	-933920.0
13:18:52.447	-936640.0
13:18:52.447	-984240.0
13:18:52.447	-1004640.0
13:18:52.447	-1014840.0
13:18:52.447	-1015520.0
13:18:52.447	-1035920.0
13:18:52.447	-6580640.0
13:18:52.453	-1525160.0
13:18:55.613	-1362080.0
13:18:55.615	-1525160.0
13:18:55.683	-6580640.0
13:18:55.683	-1525160.0
13:19:13.812	-6580640.0
13:19:13.813	-1525160.0
13:19:20.602	-6580640.0
13:19:20.602	-1525160.0
13:19:28.840	-1280540.0
13:19:28.884	-1606700.0
13:19:28.991	-1280540.0
13:20:34.964	-1199000.0
13:24:31.210	-1280540.0
13:28:20.010	-1199000.0
13:30:15.392	-1280540.0
13:39:57.735	-1362080.0
13:43:28.409	-1443620.0
13:46:16.301	-1280540.0
13:48:20.326	-1199000.0
13:58:45.567	-1117460.0
13:58:45.637	-1199000.0
13:58:57.451	-1117460.0
13:58:57.514	-1199000.0
14:01:28.278	-1117460.0
14:01:28.347	-1199000.0
14:01:31.532	-1117460.0
14:01:37.049	-1199000.0
14:02:41.386	-1117460.0
14:02:42.966	-1199000.0
