Time_PnL	PnL
09:00:00.534	0.0
09:01:55.512	-1000.0
09:06:21.629	-3000.0
09:08:01.883	-2970.0
09:08:01.883	-6000.0
09:08:29.174	-10000.0
09:08:42.347	-14000.0
09:08:42.396	-26000.0
09:08:42.396	-26010.0
09:08:42.396	-22000.0
09:08:42.396	-17990.0
09:09:23.557	-17950.0
09:09:23.557	-23000.0
09:20:37.876	-17150.0
09:28:16.483	-24000.0
09:32:06.786	-32000.0
09:32:17.482	-40000.0
09:32:17.588	-48000.0
09:36:10.409	-40000.0
09:36:11.517	-48000.0
09:36:11.543	-40000.0
09:36:11.567	-48000.0
09:37:09.716	-40000.0
09:38:07.110	-48000.0
09:38:07.110	-40000.0
09:39:05.656	-32000.0
09:40:47.867	-40000.0
09:41:01.381	-31690.0
09:41:20.630	-31550.0
09:41:20.630	-41000.0
09:41:20.631	-51000.0
09:41:20.660	-61000.0
09:41:20.660	-71000.0
09:41:20.660	-81000.0
09:41:20.660	-91000.0
09:41:20.660	-101000.0
09:41:20.688	-111000.0
09:41:20.697	-101000.0
09:41:27.212	-90550.0
09:41:27.213	-80100.0
09:41:36.341	-69650.0
09:41:36.343	-59200.0
09:41:36.445	-69650.0
09:41:36.473	-59200.0
09:41:40.708	-59150.0
09:41:40.708	-59050.0
09:41:47.716	-69350.0
09:41:47.793	-59050.0
09:41:47.793	-69350.0
09:41:47.793	-59050.0
09:41:47.793	-69350.0
09:41:47.794	-59050.0
09:41:47.794	-69350.0
09:41:47.794	-59050.0
09:41:47.794	-69350.0
09:41:47.794	-59050.0
09:41:47.814	-69350.0
09:41:47.814	-59050.0
09:41:48.128	-69350.0
09:41:50.230	-59050.0
09:41:50.273	-69350.0
09:41:50.273	-59050.0
09:42:10.089	-69350.0
09:42:32.227	-59050.0
09:42:35.879	-59040.0
09:42:35.879	-58990.0
09:42:35.879	-58980.0
09:42:35.926	-58950.0
09:42:35.926	-58930.0
09:42:35.949	-58810.0
09:42:35.949	-58760.0
09:42:36.196	-58750.0
09:42:41.871	-58730.0
09:42:41.970	-58710.0
09:42:41.970	-58700.0
09:42:41.970	-58670.0
09:42:42.244	-68590.0
09:42:52.795	-58670.0
09:43:38.219	-58640.0
09:44:16.305	-58620.0
09:45:22.221	-58580.0
09:45:49.157	-58560.0
09:45:53.090	-58460.0
09:46:03.172	-58440.0
09:47:32.474	-58430.0
09:47:32.612	-58420.0
09:47:45.326	-58410.0
09:47:50.075	-58400.0
09:48:42.221	-58380.0
09:48:59.570	-58370.0
09:49:18.110	-58360.0
09:50:37.440	-58340.0
09:51:45.014	-58290.0
09:51:45.014	-58280.0
09:51:45.014	-58240.0
09:51:45.014	-58200.0
09:52:23.649	-48750.0
09:53:52.221	-39300.0
09:55:10.669	-29850.0
09:55:10.669	-39300.0
09:59:43.325	-48750.0
10:02:44.967	-29850.0
10:02:44.989	-39300.0
10:02:44.989	-48750.0
10:10:34.858	-39300.0
10:10:34.866	-48750.0
10:10:39.149	-39300.0
10:11:20.161	-48750.0
10:11:26.208	-39300.0
10:12:42.506	-29850.0
10:12:43.444	-39300.0
10:13:16.963	-29850.0
10:13:17.940	-20400.0
10:16:22.757	-10950.0
10:16:25.472	-20400.0
10:17:06.629	-10950.0
10:17:34.686	-1500.0
10:18:10.884	7950.0
10:18:18.529	17400.0
10:19:22.978	26850.0
10:23:25.833	36300.0
10:23:25.833	26850.0
10:23:25.836	36300.0
10:23:25.837	26850.0
10:23:25.888	36300.0
10:23:28.274	26850.0
10:23:34.272	36300.0
10:31:00.129	45750.0
10:31:00.129	36300.0
10:31:05.559	45750.0
10:31:05.581	36300.0
10:37:24.932	26850.0
10:44:13.206	36300.0
10:44:13.206	26850.0
10:45:03.303	36300.0
10:45:03.325	26850.0
10:47:34.619	36300.0
10:47:34.723	26850.0
10:50:20.611	36300.0
10:53:49.521	26850.0
10:53:49.549	36300.0
10:53:49.550	26850.0
10:54:21.111	36300.0
10:56:59.960	26850.0
10:58:27.139	36300.0
10:58:27.350	26850.0
10:58:31.060	36300.0
10:58:31.086	26850.0
10:58:37.583	36300.0
10:58:37.687	26850.0
10:58:41.656	36300.0
10:58:42.139	26850.0
11:01:11.955	36300.0
11:13:49.372	26850.0
11:13:49.397	36300.0
11:13:49.397	26850.0
11:13:49.681	17400.0
11:14:49.469	7950.0
11:15:49.915	-1500.0
11:17:01.270	7950.0
11:18:03.860	-1500.0
11:18:08.860	7950.0
11:27:23.407	17400.0
11:27:23.958	7950.0
11:27:52.683	-1500.0
11:27:54.723	-10950.0
11:30:08.624	-1500.0
11:30:34.489	-10950.0
11:32:29.837	-20400.0
11:34:37.505	-10950.0
11:34:37.562	-20400.0
11:34:37.562	-10950.0
11:34:38.059	-20400.0
11:37:32.125	-29850.0
11:38:02.732	-20400.0
11:38:04.249	-29850.0
11:38:14.028	-20400.0
11:40:32.705	-10950.0
11:40:32.706	-20400.0
11:40:55.598	-10950.0
11:42:06.221	-1500.0
11:42:06.247	-10950.0
11:42:06.307	-1500.0
11:44:35.671	-10950.0
11:44:35.671	-20400.0
11:44:35.671	-10950.0
11:44:35.672	-20400.0
11:44:35.672	-10950.0
11:44:35.720	-1500.0
11:44:35.742	-10950.0
11:45:59.699	-1500.0
11:45:59.769	-10950.0
11:46:51.476	-1500.0
11:48:23.414	-10950.0
11:48:49.962	-1500.0
11:50:25.785	-10950.0
11:50:27.641	-1500.0
11:53:22.593	-10950.0
11:53:28.034	-1500.0
11:54:13.911	7950.0
11:54:27.730	-1500.0
11:55:41.939	-10950.0
11:58:50.683	-1500.0
11:59:15.053	-10950.0
11:59:15.614	-1500.0
12:00:19.595	-10950.0
12:00:19.642	-1500.0
12:00:19.810	-10950.0
12:00:19.860	-1500.0
12:06:11.130	7950.0
12:06:11.194	-1500.0
12:07:07.148	7950.0
12:07:12.362	-1500.0
12:09:41.804	7950.0
12:09:53.950	-1500.0
12:11:24.217	7950.0
12:11:28.698	-1500.0
12:14:45.297	-10950.0
12:14:45.323	-1500.0
12:14:45.323	-10950.0
12:14:45.348	-1500.0
12:14:45.370	-10950.0
12:14:45.399	-20400.0
12:19:36.022	-10950.0
12:25:26.184	-20400.0
12:26:59.543	-29850.0
12:26:59.543	-20400.0
12:36:44.902	-30850.0
12:45:14.101	-41300.0
12:45:30.544	-51750.0
12:45:57.164	-62200.0
12:46:45.762	-72650.0
12:46:45.787	-62200.0
12:46:45.787	-72650.0
12:46:45.811	-62200.0
12:54:49.785	-51750.0
12:54:53.459	-62200.0
12:59:59.935	-72650.0
13:00:10.432	-83100.0
13:00:10.444	-93550.0
13:00:10.457	-83100.0
13:00:10.458	-93550.0
13:00:10.461	-83100.0
13:00:10.474	-93550.0
13:00:14.015	-83100.0
13:01:00.435	-93550.0
13:02:46.149	-83100.0
13:03:33.275	-72650.0
13:03:43.898	-83100.0
13:03:46.590	-72650.0
13:04:17.073	-83100.0
13:04:17.097	-72650.0
13:04:17.122	-83100.0
13:07:03.654	-72650.0
13:07:24.027	-83100.0
13:07:24.051	-72650.0
13:07:24.076	-83100.0
13:08:22.070	-72650.0
13:08:37.810	-62200.0
13:09:35.598	-72650.0
13:09:36.981	-62200.0
13:10:32.260	-72650.0
13:10:38.289	-62200.0
13:10:39.501	-72650.0
13:10:50.136	-83100.0
13:10:50.465	-72650.0
13:16:53.659	-62200.0
13:16:53.780	-72650.0
13:19:04.183	-62200.0
13:19:19.749	-72650.0
13:19:19.750	-62200.0
13:19:19.750	-72650.0
13:19:19.750	-62200.0
13:19:19.771	-72650.0
13:22:49.252	-62200.0
13:23:21.938	-72650.0
13:23:53.177	-62200.0
13:25:06.965	-51750.0
13:25:07.168	-62200.0
13:25:09.144	-51750.0
13:25:09.144	-62200.0
13:26:34.658	-51750.0
