Time_PnL	PnL
09:00:00.534	0.0
09:00:13.882	-80.0
09:00:52.301	-73.6
09:01:04.630	0.0
09:01:04.630	28.7
09:01:04.630	80.0
09:01:04.630	40.0
09:02:10.837	-40.0
09:02:10.838	0.0
09:02:10.838	40.0
09:02:10.881	-40.0
09:02:10.881	40.0
09:02:26.896	-80.0
09:02:27.547	-45.8
09:03:25.700	-40.0
09:03:25.700	120.0
09:03:26.614	158.6
09:03:26.614	200.0
09:04:06.524	259.3
09:04:06.524	269.3
09:04:06.524	280.0
09:05:37.879	200.0
09:06:19.232	80.0
09:06:43.146	117.9
09:06:43.485	120.0
09:06:43.485	266.05
09:06:43.513	80.0
09:07:13.914	266.05
09:07:13.943	80.0
09:07:18.551	301.6
09:07:18.578	80.0
09:07:20.613	109.4
09:07:20.613	160.0
09:07:23.040	341.6
09:07:23.068	160.0
09:07:24.062	341.6
09:07:24.070	160.0
09:07:33.766	341.6
09:07:33.795	160.0
09:07:43.178	341.6
09:07:43.206	160.0
09:07:44.118	341.6
09:07:44.196	160.0
09:08:07.401	341.6
09:08:14.230	359.1
09:08:14.230	381.6
09:08:14.230	396.5
09:08:14.231	421.6
09:08:37.150	461.6
09:08:37.171	501.6
09:08:37.171	523.2
09:08:37.171	501.6
09:10:06.426	541.6
09:10:58.105	575.1
09:10:58.105	581.6
09:10:58.132	595.9
09:10:58.155	621.6
09:10:58.158	661.6
09:10:58.158	723.2
09:10:58.165	621.6
09:11:18.909	723.2
09:11:18.932	621.6
09:11:21.365	723.2
09:11:21.365	621.6
09:11:21.365	723.2
09:11:21.386	621.6
09:11:21.387	723.2
09:11:21.824	621.6
09:11:21.824	723.2
09:11:28.519	621.6
09:11:28.520	723.2
09:11:33.574	621.6
09:11:57.334	671.6
09:11:57.334	701.6
09:11:57.334	721.6
09:11:57.334	773.2
09:11:57.392	803.2
09:11:57.392	824.8
09:11:57.392	806.4
09:12:51.389	846.4
09:12:51.452	926.4
09:12:51.452	948.3
09:12:51.452	1006.65
09:12:51.452	1046.4
09:12:51.485	1166.4
09:12:51.485	1221.6
09:12:51.564	1240.0
09:12:51.564	1160.0
09:13:06.428	1000.0
09:13:09.046	600.0
09:13:13.041	800.0
09:13:13.079	600.0
09:13:18.510	360.0
09:13:21.788	480.0
09:13:21.788	545.85
09:13:21.788	600.0
09:13:21.788	1080.0
09:13:21.788	920.0
09:14:30.418	680.0
09:14:30.451	400.0
09:14:30.500	40.0
09:14:40.736	-360.0
09:15:28.015	-800.0
09:15:30.728	-360.0
09:15:31.777	-800.0
09:15:49.246	-360.0
09:16:05.095	-340.9
09:16:05.095	-320.0
09:16:05.095	-310.95
09:16:23.920	-701.9
09:17:19.881	-1172.85
09:17:20.003	-1222.85
09:17:20.003	-1272.85
09:17:20.003	-1311.65
09:17:20.003	-2083.55
09:17:22.418	-1697.6
09:17:24.943	-2083.55
09:17:26.433	-1697.6
09:17:26.433	-2083.55
09:17:48.544	-1689.5
09:17:48.545	-2083.55
09:17:48.632	-2509.5
09:17:50.911	-2975.45
09:17:50.911	-3441.4
09:17:50.936	-2975.45
09:17:51.532	-2509.5
09:17:52.328	-2975.45
09:17:52.999	-3441.4
09:17:55.464	-2975.45
09:17:58.980	-3441.4
09:18:22.685	-3448.9
09:18:22.685	-3467.05
09:18:22.685	-3848.0
09:18:27.196	-3467.05
09:18:43.317	-3086.1
09:18:43.356	-3467.05
09:18:43.659	-3086.1
09:18:43.706	-3467.05
09:18:58.655	-3086.1
09:18:58.680	-3467.05
