Time_PnL	PnL
09:00:00.534	0.0
09:00:05.635	-2.0
09:00:07.099	-1.0
09:01:05.542	2.0
09:02:12.968	1.0
09:02:12.968	2.0
09:06:45.744	1.0
09:06:45.792	2.0
09:08:37.341	1.0
09:08:47.413	0.0
09:08:47.423	1.0
09:08:47.423	0.0
09:08:47.426	1.0
09:09:00.463	0.0
09:09:00.464	1.0
09:09:18.753	2.0
09:09:18.753	1.0
09:09:18.753	2.0
09:09:33.851	0.0
09:10:47.997	-1.0
09:10:48.000	0.0
09:11:50.644	-1.0
09:11:50.646	0.0
09:13:38.517	1.0
09:13:38.518	0.0
09:13:38.905	-1.0
09:13:39.211	-2.0
09:13:39.212	-3.0
09:13:39.212	-2.0
09:13:39.212	-3.0
09:13:39.265	-2.0
09:14:26.634	-3.0
09:14:26.634	-2.0
09:14:26.769	-4.0
09:14:36.760	-5.0
09:14:43.413	-8.0
09:15:07.440	-5.0
09:15:52.476	-4.0
09:15:52.476	-5.0
09:16:10.591	-7.0
09:16:10.701	-6.0
09:16:10.722	-5.0
09:16:27.611	-6.0
09:16:27.642	-7.0
09:16:27.642	-6.0
09:16:39.014	-5.0
09:17:26.569	-4.0
09:17:26.569	-5.0
09:17:28.337	-7.0
09:17:30.396	-5.0
09:17:40.159	-4.0
09:17:44.141	-3.0
09:17:44.141	-4.0
09:17:44.141	-3.0
09:17:44.141	-4.0
09:17:44.141	-3.0
09:18:29.196	-5.0
09:18:29.221	-6.0
09:18:29.244	-9.0
09:20:11.476	-6.0
09:20:11.498	-3.0
09:20:11.498	-6.0
09:20:11.498	-8.0
09:20:11.513	-4.0
09:20:52.970	-9.0
09:20:52.970	-10.0
09:20:52.970	-11.0
09:20:59.787	-18.0
09:23:22.955	-19.0
09:23:35.791	-26.0
09:23:35.835	-27.0
09:23:36.211	-35.0
09:24:04.072	-36.0
09:24:04.077	-45.0
09:24:04.185	-36.0
09:24:04.185	-27.0
09:24:04.185	-36.0
09:26:30.058	-46.0
09:28:39.926	-55.0
09:28:39.927	-46.0
09:28:39.927	-55.0
09:28:39.927	-46.0
09:28:39.927	-55.0
09:28:39.948	-56.0
09:28:39.954	-66.0
09:28:39.982	-67.0
09:28:40.345	-68.0
09:28:40.391	-80.0
09:29:20.982	-68.0
09:29:20.982	-80.0
09:29:20.982	-82.0
09:29:23.617	-69.0
09:35:45.850	-56.0
09:35:45.850	-43.0
09:35:45.850	-56.0
09:35:45.872	-43.0
09:35:45.986	-42.0
09:35:45.986	-30.0
09:35:45.986	-42.0
09:35:45.986	-30.0
09:35:45.986	-42.0
09:35:46.097	-30.0
09:37:54.700	-44.0
09:37:54.701	-45.0
09:37:54.702	-30.0
09:37:59.964	-46.0
09:38:03.091	-46.83
09:38:03.091	-46.66
09:38:03.091	-46.83
09:38:09.450	-46.0
09:38:09.450	-31.0
09:38:09.450	-31.83
09:38:09.450	-32.0
09:38:30.618	-31.0
09:38:30.618	-16.0
09:38:30.618	-31.0
09:38:30.639	-16.0
09:38:30.639	-31.0
09:38:30.639	-33.0
09:38:30.665	-17.0
09:38:50.419	-33.0
09:38:50.429	-32.0
09:38:50.429	-17.0
09:38:53.323	-2.0
09:39:51.065	-18.0
09:39:51.089	-34.0
09:39:51.089	-33.0
09:39:51.089	-34.0
09:40:14.741	-50.0
09:40:14.764	-34.0
09:48:57.449	-49.0
09:48:57.449	-34.0
09:48:57.449	-49.0
09:48:57.670	-64.0
09:48:57.670	-49.0
09:48:57.691	-65.0
09:48:57.691	-66.0
09:48:57.733	-83.0
09:48:57.804	-66.0
09:48:57.805	-84.0
09:48:57.805	-85.0
09:48:57.825	-104.0
09:48:58.326	-85.0
09:48:58.326	-85.93
09:48:58.326	-66.0
09:48:58.375	-86.93
09:50:15.671	-87.93
09:50:57.571	-86.93
09:50:57.571	-65.56
09:50:57.571	-66.56
09:51:14.017	-44.19
09:51:14.022	-66.56
09:51:14.022	-44.19
09:51:14.077	-67.56
09:51:19.681	-65.56
09:51:19.686	-43.19
09:51:19.709	-66.56
09:51:21.938	-67.56
09:52:57.386	-43.19
09:55:40.241	-18.82
09:56:24.707	-43.19
09:56:25.555	-68.56
09:56:25.555	-43.19
09:56:25.557	-69.56
09:56:27.838	-95.93
09:56:27.838	-69.56
09:56:27.841	-94.93
09:56:38.969	-69.56
09:56:38.996	-70.56
09:57:45.008	-69.56
09:57:45.008	-46.19
09:57:45.008	-47.19
09:58:37.823	-47.18
09:58:37.823	-46.19
09:58:37.823	-23.82
09:58:37.823	-24.82
09:58:37.824	-48.19
09:58:37.824	-24.82
09:58:37.824	-25.82
09:58:39.359	-24.82
10:00:20.680	-48.19
10:00:20.680	-49.19
10:00:20.704	-73.56
10:00:40.538	-74.56
10:00:40.560	-99.93
10:01:00.110	-74.56
10:02:35.383	-99.93
10:04:22.727	-100.93
10:04:24.962	-99.93
10:04:43.710	-75.56
10:07:14.832	-52.19
10:07:14.832	-53.19
10:07:40.251	-77.56
10:07:41.939	-53.19
10:07:41.939	-77.56
10:07:41.939	-76.56
10:07:41.939	-77.56
10:10:30.951	-102.93
10:10:30.953	-102.81
10:10:30.983	-128.06
10:10:31.031	-154.31
10:10:31.031	-155.31
10:10:31.031	-156.31
10:10:31.052	-157.31
10:10:32.175	-130.06
10:10:33.952	-102.81
10:10:33.952	-103.81
10:10:33.952	-132.06
10:10:37.314	-103.81
10:10:39.818	-102.81
10:12:04.947	-131.06
10:12:05.006	-159.31
10:12:20.542	-188.56
10:12:20.542	-159.31
10:12:20.617	-189.56
10:12:20.617	-190.56
10:12:22.906	-220.81
10:13:38.083	-190.56
10:13:38.131	-160.31
10:17:17.298	-159.31
10:20:51.205	-160.31
10:20:53.986	-129.06
10:20:53.986	-97.81
10:20:53.986	-98.81
10:20:53.986	-131.06
10:21:04.648	-164.31
10:23:30.404	-131.06
10:26:41.568	-130.06
10:26:41.589	-97.81
10:26:43.509	-65.56
10:26:54.998	-97.81
10:26:54.998	-65.56
10:26:55.023	-98.81
10:26:55.023	-99.81
10:26:55.023	-100.81
10:27:09.067	-136.06
10:27:12.852	-100.81
10:27:17.092	-136.06
10:28:11.480	-172.31
10:28:26.382	-207.56
10:28:26.504	-241.81
10:28:32.219	-242.81
10:28:40.691	-207.56
10:28:40.691	-208.56
10:33:05.619	-207.56
10:35:23.326	-242.81
10:35:23.326	-207.56
10:35:23.326	-242.81
10:35:45.497	-278.06
10:35:45.497	-279.06
10:36:58.282	-242.81
10:41:59.565	-241.81
10:42:10.557	-206.63
10:47:33.764	-171.45
10:47:37.091	-206.63
10:53:30.306	-171.45
10:53:30.306	-206.63
10:53:30.328	-171.45
10:53:30.374	-207.63
10:53:30.374	-208.63
10:53:30.417	-171.45
10:53:30.417	-207.68
10:53:30.418	-206.68
10:53:30.418	-171.45
10:54:07.268	-136.22
10:54:54.836	-135.54
10:54:54.836	-135.22
10:54:54.836	-100.99
10:54:54.836	-66.76
10:54:54.836	-100.99
10:54:54.836	-66.76
10:55:10.527	-101.99
10:55:10.527	-102.99
10:55:11.635	-138.22
10:55:11.635	-139.22
10:55:11.635	-140.22
10:55:11.642	-139.22
10:55:15.961	-140.22
10:55:28.757	-139.22
10:55:28.757	-140.22
10:56:03.156	-175.45
10:56:52.760	-141.22
10:59:08.284	-175.45
10:59:18.094	-141.22
10:59:39.910	-175.45
11:00:31.563	-174.45
11:01:00.963	-141.22
11:02:49.961	-175.45
11:03:16.730	-141.22
11:05:28.682	-106.99
11:05:28.682	-107.99
11:05:34.627	-73.76
11:08:55.286	-108.99
11:10:27.477	-145.22
11:10:27.615	-181.45
11:10:27.641	-182.45
11:10:28.080	-219.68
11:10:28.080	-220.66
11:10:28.080	-220.64
11:10:28.080	-220.66
11:10:30.301	-219.68
11:10:39.905	-183.45
11:10:40.528	-219.68
11:10:40.607	-183.45
11:11:04.513	-219.68
11:13:46.072	-220.68
11:15:28.827	-183.45
11:16:25.628	-146.22
11:17:26.333	-146.05
11:17:26.333	-145.22
11:17:26.333	-108.99
11:17:26.334	-145.22
11:17:26.360	-108.99
11:17:26.413	-146.22
11:22:16.324	-108.99
11:22:16.324	-109.99
11:25:04.385	-108.99
11:25:04.385	-71.76
11:25:11.939	-109.99
11:26:16.949	-148.22
11:26:17.009	-185.45
11:26:17.304	-223.68
11:26:17.304	-224.68
11:26:17.336	-185.45
11:26:17.336	-224.68
11:26:17.336	-185.45
11:26:17.336	-224.68
11:26:17.336	-185.45
11:26:21.833	-225.68
11:26:39.216	-186.45
11:26:47.205	-224.68
11:26:58.570	-186.45
11:27:06.809	-185.45
11:28:54.677	-148.22
11:34:38.006	-184.45
11:34:38.027	-185.45
11:34:38.049	-222.68
11:34:38.215	-258.91
11:34:38.263	-222.68
11:34:41.213	-258.91
11:34:47.979	-257.91
11:35:19.112	-222.61
11:35:55.999	-258.91
11:35:56.009	-257.91
11:37:23.046	-222.61
11:40:06.629	-187.31
11:40:06.629	-222.61
11:40:06.629	-187.31
11:40:06.629	-188.31
11:40:06.629	-189.31
11:40:06.645	-226.61
11:40:06.654	-189.31
11:41:41.759	-226.61
11:52:13.504	-191.31
11:59:26.856	-156.01
11:59:26.859	-192.31
11:59:26.859	-193.31
11:59:26.862	-156.01
11:59:26.862	-157.01
11:59:26.862	-195.31
11:59:26.865	-196.31
11:59:26.883	-197.31
11:59:26.884	-197.0
12:00:41.404	-196.31
12:05:17.200	-235.61
12:05:17.202	-196.31
12:05:17.206	-235.61
12:05:17.360	-274.91
12:05:20.574	-235.61
12:05:20.574	-236.23
12:05:20.574	-236.61
12:05:27.172	-276.91
12:05:27.172	-277.91
12:05:31.342	-278.91
12:07:11.262	-278.78
12:07:11.262	-278.5
12:07:11.262	-277.91
12:07:19.903	-237.61
12:07:19.928	-277.91
12:07:39.390	-237.61
12:07:39.390	-238.61
12:07:47.417	-279.91
12:08:03.337	-280.91
12:10:57.511	-238.61
12:11:25.184	-281.91
12:13:15.404	-240.61
12:20:46.871	-239.61
12:20:46.878	-199.31
12:20:53.397	-239.61
12:21:30.174	-199.31
12:24:36.544	-239.61
12:31:10.038	-278.91
12:32:05.985	-239.61
12:32:06.007	-200.31
12:32:06.007	-201.31
12:32:06.007	-241.61
12:36:32.177	-201.31
12:36:32.177	-202.31
12:37:57.511	-243.61
12:37:57.512	-244.61
12:38:04.151	-286.91
12:38:11.169	-285.91
12:38:11.557	-244.61
12:38:11.557	-245.61
12:40:10.577	-246.61
12:42:52.744	-288.91
12:42:52.744	-289.91
12:44:44.187	-289.79
12:44:44.187	-288.91
12:44:52.226	-246.61
12:44:52.226	-247.61
13:00:03.710	-205.31
13:01:20.078	-247.61
13:10:41.161	-205.31
13:10:41.161	-206.31
13:27:04.954	-205.31
13:27:04.976	-163.01
13:27:04.976	-164.01
13:27:14.532	-207.31
13:33:02.322	-206.31
13:33:02.322	-207.31
13:35:15.866	-208.31
13:35:40.641	-207.56
13:35:40.641	-207.31
13:38:51.898	-166.01
13:39:26.422	-207.31
13:39:26.642	-248.61
13:39:27.761	-247.61
13:42:14.768	-207.31
13:45:18.145	-247.61
