Time_PnL	PnL
09:00:00.534	0.0
09:02:27.499	-2.0
09:02:27.499	-3.0
09:03:10.500	-4.0
09:04:03.068	-6.0
09:04:03.068	-5.0
09:05:39.460	-7.0
09:07:05.579	-5.0
09:07:05.579	-7.0
09:07:19.105	-9.0
09:07:19.487	-11.0
09:07:19.509	-13.0
09:07:19.509	-15.0
09:07:19.509	-13.0
09:07:20.207	-11.0
09:07:23.532	-9.0
09:09:15.019	-11.0
09:09:15.019	-13.0
09:10:12.762	-11.0
09:11:08.197	-13.0
09:11:13.661	-11.0
09:11:13.661	-8.6
09:11:13.661	-8.0
09:14:16.827	-9.0
09:15:18.256	-7.57
09:15:38.397	-6.14
09:16:13.595	-7.57
09:16:13.801	-7.0
09:16:13.801	-10.0
09:16:22.490	-7.0
09:19:56.906	-6.0
09:20:52.213	-4.0
09:22:15.548	-1.12
09:22:15.548	-1.0
09:24:00.542	1.0
09:24:55.681	2.0
09:25:00.889	4.0
09:35:21.161	3.0
09:35:32.003	2.0
09:35:32.027	1.0
09:36:11.477	2.0
09:36:12.292	3.0
09:36:37.632	4.0
09:39:10.033	3.0
09:39:25.404	4.0
09:41:19.175	3.0
09:42:10.536	2.0
09:42:16.796	1.0
09:49:58.367	2.0
09:50:00.532	3.0
09:50:00.532	4.0
09:50:13.709	3.0
09:54:14.574	4.0
09:56:07.093	6.0
10:49:50.235	5.0
10:49:57.382	4.0
10:50:20.579	5.0
10:51:19.569	6.0
10:52:16.752	5.0
10:53:30.224	6.0
10:53:50.317	7.0
10:54:15.539	6.0
10:54:31.807	5.0
10:54:31.807	6.0
10:56:07.780	7.0
10:56:17.357	8.0
10:56:17.472	9.0
10:56:48.055	10.0
10:57:00.655	9.0
10:57:17.173	10.0
10:57:17.173	9.0
10:58:29.711	10.0
11:00:02.056	9.0
11:00:03.780	10.0
11:04:32.390	11.0
11:05:03.470	12.0
11:07:15.152	13.0
11:07:19.152	14.0
11:07:19.173	13.0
11:08:07.090	12.0
11:08:58.844	13.0
11:16:23.389	14.0
11:16:23.452	15.0
11:16:23.821	16.0
12:01:47.903	15.0
12:01:50.148	14.0
12:01:50.150	15.0
12:01:50.170	14.0
12:01:51.198	15.0
12:06:04.928	16.0
12:06:05.132	17.0
12:10:10.284	18.0
12:13:02.117	17.0
12:13:02.690	18.0
12:13:04.599	19.0
12:13:18.574	20.0
12:13:18.615	21.0
12:13:21.848	22.0
12:13:21.848	21.0
12:13:21.849	22.0
12:13:21.851	21.0
12:13:21.870	22.0
12:13:21.870	21.0
12:13:24.558	22.0
12:13:24.599	21.0
12:15:01.151	20.0
12:15:01.159	21.0
12:15:36.556	20.0
12:15:36.557	19.0
12:15:36.557	20.0
12:15:36.561	19.0
12:18:35.766	20.0
12:18:35.817	19.0
12:18:42.208	20.0
12:22:43.099	21.0
12:25:29.666	20.0
12:25:31.850	21.0
12:27:43.977	22.0
12:29:00.028	21.0
12:32:58.705	22.0
12:33:13.395	21.0
12:33:13.454	22.0
12:33:31.691	21.0
12:33:38.069	22.0
12:35:38.071	23.0
12:36:18.682	22.0
12:38:56.132	23.0
12:39:02.733	24.0
12:39:06.749	25.0
12:39:14.019	24.0
12:39:14.050	25.0
12:40:08.025	26.0
12:42:44.313	25.0
12:42:44.372	26.0
12:43:09.271	25.0
12:43:09.297	26.0
12:43:19.487	25.0
12:43:19.579	24.0
12:43:19.604	25.0
12:43:30.493	26.0
12:43:35.100	27.0
13:59:54.880	27.32
13:59:55.357	27.0
14:00:01.660	27.32
14:08:51.256	27.0
14:08:52.343	26.0
14:09:07.689	27.0
14:09:07.759	26.0
14:09:57.337	27.0
14:10:03.193	28.0
14:10:52.769	27.0
14:11:21.478	28.0
14:12:17.287	27.0
14:12:32.506	28.0
14:14:36.009	27.0
14:14:40.694	28.0
14:14:47.070	27.0
14:14:52.308	28.0
14:15:35.495	27.0
14:15:35.526	28.0
14:17:09.004	29.0
14:17:41.373	28.0
14:17:43.644	29.0
14:17:53.410	28.0
14:17:57.973	29.0
14:17:58.006	28.0
14:18:02.751	27.0
14:18:02.751	26.0
14:18:02.752	27.0
14:18:03.791	28.0
14:19:09.073	27.0
14:19:11.112	28.0
14:23:16.728	27.0
14:23:59.333	25.0
14:24:00.888	27.0
14:24:00.888	25.0
14:24:00.909	27.0
14:24:00.910	25.0
14:24:02.014	27.0
14:24:04.095	29.0
14:24:21.799	27.0
14:25:57.607	29.0
14:25:57.768	27.0
14:25:58.769	29.0
14:27:09.109	31.0
14:27:27.937	29.0
14:28:53.277	31.0
14:28:54.810	33.0
14:29:06.459	31.0
14:30:03.937	29.0
14:30:03.958	27.0
14:30:03.958	25.0
14:30:03.958	23.0
14:30:03.959	31.0
14:30:41.931	29.0
14:30:42.914	31.0
14:31:00.041	30.0
14:31:43.101	31.0
14:31:56.153	30.0
14:32:00.271	31.0
14:33:22.427	30.0
14:33:30.471	31.0
14:34:47.017	32.0
15:08:59.193	31.0
15:09:03.641	30.0
15:09:42.905	31.0
15:09:50.488	30.0
15:09:50.564	31.0
15:13:35.468	30.0
15:16:27.162	31.0
15:16:27.162	30.0
15:16:36.232	31.0
15:16:50.107	30.0
15:16:50.153	31.0
15:16:52.418	32.0
15:17:07.636	31.0
15:17:20.096	32.0
15:21:24.775	31.0
15:21:24.848	30.0
15:21:24.869	29.0
15:21:25.840	30.0
