Time_Position	Position
09:00:09.091	-5
09:02:06.456	3
09:04:06.521	0
09:04:06.521	-5
09:04:06.675	-8
09:04:14.999	-14
09:04:15.029	-18
09:05:34.515	-23
09:05:43.240	-28
09:06:31.280	-30
09:07:22.925	-36
09:08:02.535	-41
09:08:10.665	-51
09:08:10.665	-56
09:08:10.665	-57
09:08:11.014	-62
09:08:12.184	-76
09:08:12.184	-77
09:08:15.611	-92
09:08:21.998	-98
09:08:22.078	-99
09:08:22.090	-104
09:08:25.860	-106
09:08:37.125	-121
09:08:37.125	-122
09:08:43.528	-131
09:08:44.863	-150
09:08:46.466	-171
09:08:54.727	-192
09:08:57.443	-203
09:08:57.443	-208
09:08:57.443	-209
09:08:57.494	-214
09:08:58.778	-229
09:09:03.975	-250
09:09:07.222	-275
09:09:17.907	-276
09:11:32.046	-286
09:11:32.068	-288
09:11:32.068	-292
10:27:06.735	-287
10:27:06.735	-286
11:20:43.229	-283
11:20:43.229	-282
11:20:43.229	-281
11:20:43.229	-277
11:22:37.655	-272
11:35:11.113	-271
11:35:11.113	-268
11:39:56.542	-256
11:39:56.542	-255
11:39:56.542	-232
11:41:30.645	-230
11:52:13.031	-222
11:52:13.031	-214
11:52:13.031	-212
11:52:13.031	-210
11:52:13.098	-209
11:52:13.098	-207
11:52:13.098	-206
11:52:13.098	-203
11:52:13.098	-200
11:52:39.439	-196
11:52:44.272	-195
11:52:44.273	-190
11:52:44.293	-186
11:52:46.351	-177
11:52:46.591	-176
11:52:46.591	-175
11:52:56.951	-174
11:52:56.951	-169
11:52:57.225	-152
11:52:57.225	-147
11:52:57.225	-146
11:53:02.874	-141
11:53:02.874	-140
11:53:12.901	-135
11:54:36.100	-131
11:54:36.100	-130
11:54:36.100	-129
12:13:44.515	-119
12:13:44.515	-115
12:13:44.515	-114
12:31:36.498	-110
12:31:36.498	-108
12:45:32.575	-106
12:45:58.803	-105
12:45:58.803	-103
12:45:58.803	-101
12:45:58.803	-100
12:46:41.602	-95
12:46:53.534	-90
12:47:04.606	-85
12:47:04.607	-84
12:47:04.607	-83
12:47:06.713	-75
12:47:06.713	-74
12:47:38.657	-69
12:47:42.844	-64
12:47:42.844	-61
12:47:42.844	-60
12:47:42.844	-56
12:47:42.844	-55
12:47:42.844	-54
12:47:42.845	-53
12:47:42.845	-51
12:47:42.846	-48
12:47:43.700	-47
12:47:43.700	-44
12:47:43.788	-43
12:47:43.789	-41
12:47:44.911	-31
12:47:58.514	-26
12:47:58.559	-25
12:47:59.379	-20
12:48:03.622	-15
12:48:05.226	-10
12:48:05.226	-9
12:48:19.395	-4
12:48:23.474	-3
12:48:23.474	0
12:51:24.166	5
12:53:46.971	9
12:53:46.971	10
12:53:46.985	11
12:53:46.985	15
12:53:52.019	16
12:53:52.019	19
12:53:52.019	21
12:53:52.019	22
12:53:52.019	23
12:58:39.447	28
12:58:44.496	29
12:58:44.496	30
12:58:44.496	32
13:04:54.498	35
13:04:54.498	40
13:04:54.498	52
13:04:54.498	57
13:04:54.498	58
13:04:57.884	59
13:04:57.884	64
13:04:57.884	69
13:04:57.887	70
13:04:59.549	75
13:04:59.550	76
13:04:59.575	79
13:04:59.579	82
13:04:59.581	85
13:04:59.956	86
13:05:04.998	87
13:05:04.998	91
13:05:05.520	95
13:05:05.520	96
13:05:06.386	100
16:32:32.690	93
16:32:32.690	88
16:32:32.929	84
16:32:36.820	80
16:32:36.820	75
16:32:36.820	74
16:32:36.820	64
16:32:36.820	63
16:32:36.844	0
16:39:07.327	5
16:41:06.867	11
16:41:06.892	12
16:42:34.842	15
16:42:34.876	20
16:42:43.486	21
16:42:46.723	29
16:42:46.723	34
16:42:46.809	35
16:42:46.809	36
16:44:40.627	42
16:49:21.054	47
16:50:26.807	52
16:50:26.890	58
16:50:26.890	59
16:50:27.239	67
16:50:28.865	78
16:50:28.865	79
16:50:32.552	83
16:51:19.723	88
16:53:32.513	90
16:53:32.513	91
16:53:32.631	92
16:54:00.483	101
16:54:00.483	102
16:54:00.483	103
16:54:00.483	104
16:54:00.483	105
16:54:00.483	108
16:54:00.483	109
16:54:00.483	113
16:54:27.343	114
16:54:30.212	119
16:54:30.212	120
16:54:30.212	121
16:54:30.212	124
16:54:30.212	125
16:54:30.212	126
16:54:30.212	129
16:54:30.212	130
16:54:30.212	131
16:54:30.212	134
16:54:30.212	137
16:54:30.213	139
16:54:30.319	142
18:01:00.000	142
