Time_Position	Position
09:00:00.553	100
09:00:00.553	0
09:07:12.104	1
09:07:12.104	7
09:07:23.508	9
09:09:08.808	14
09:09:24.255	19
09:09:24.255	20
09:09:24.255	26
09:13:40.948	31
09:13:40.948	34
09:13:40.948	35
09:13:40.949	41
09:16:25.951	46
09:16:25.951	52
09:17:06.394	69
09:17:06.988	74
09:17:07.391	95
09:17:15.326	100
09:17:52.652	105
09:17:53.411	130
09:18:11.784	141
09:18:11.829	161
09:18:12.432	186
09:19:09.352	204
09:19:12.966	210
09:19:15.277	216
09:19:15.367	236
09:20:01.111	259
09:20:01.309	265
09:20:01.309	266
09:20:19.465	289
09:20:19.465	295
09:21:22.924	298
09:21:22.924	299
09:23:08.520	304
09:23:08.991	298
09:25:09.180	292
09:25:09.537	286
09:25:11.257	277
09:25:12.139	276
09:25:12.139	275
09:25:12.139	274
09:25:12.175	265
09:25:14.226	252
09:25:14.273	235
09:25:17.247	218
09:25:18.502	204
09:33:02.658	199
09:33:02.658	194
09:33:04.973	193
09:33:32.103	187
09:33:32.139	186
09:33:52.200	185
09:34:07.517	184
09:34:07.517	180
09:34:07.517	179
09:34:07.517	174
09:34:07.517	169
09:34:07.517	167
09:34:07.517	164
09:34:07.517	161
09:34:07.517	160
09:34:07.543	135
09:34:16.373	125
09:34:16.373	124
09:34:16.373	118
09:34:16.374	117
09:34:16.374	116
09:34:25.109	115
09:34:30.299	104
09:34:30.299	109
09:34:30.299	110
09:34:30.299	115
09:34:30.299	116
09:34:30.299	121
09:34:30.299	126
09:40:19.712	122
09:40:19.827	121
09:40:19.828	119
09:40:19.828	118
09:40:35.122	88
09:41:47.558	82
09:42:10.457	80
09:42:20.721	74
09:42:20.721	73
09:42:20.721	72
09:42:40.903	69
09:44:18.336	63
09:44:18.336	62
09:44:58.979	56
09:48:08.242	55
09:48:32.173	56
09:48:32.173	62
09:48:32.173	65
09:48:32.173	66
09:48:32.264	69
09:48:32.264	63
09:48:32.264	60
09:48:32.264	59
09:48:32.264	58
09:48:32.372	52
09:48:32.470	47
09:48:32.470	43
09:50:57.178	40
09:53:56.397	42
09:53:56.397	59
09:53:56.397	63
09:53:56.397	-14
09:53:56.397	63
09:54:06.132	59
09:55:01.127	53
09:55:30.946	51
09:55:32.456	45
09:55:32.456	44
09:55:32.456	43
09:55:34.540	40
10:06:12.463	39
10:06:12.463	37
10:06:12.463	32
10:06:12.463	28
10:06:12.463	27
10:06:17.444	22
10:08:09.387	17
10:08:09.387	12
10:08:09.387	6
10:08:09.387	5
10:08:09.387	4
10:08:09.387	1
10:10:03.174	7
10:10:03.174	8
10:10:03.249	11
10:10:03.249	12
10:15:41.623	15
10:15:41.623	16
10:15:41.623	17
10:15:41.623	18
10:16:29.193	23
10:16:42.656	25
10:16:42.656	26
10:17:13.837	27
10:19:10.409	28
10:20:13.395	31
10:20:18.850	32
10:20:22.859	35
10:20:22.860	38
10:22:49.865	44
10:22:49.889	50
10:29:10.066	68
10:29:10.066	71
10:29:10.066	72
10:29:10.066	73
10:29:10.066	79
10:29:10.066	100
10:29:10.078	101
10:37:08.969	100
10:37:08.969	95
10:37:08.969	92
10:37:08.969	89
10:37:08.969	88
10:37:08.969	85
10:37:08.992	83
10:38:28.300	78
10:38:28.318	73
10:39:38.029	70
10:39:38.030	68
10:40:04.770	63
10:40:04.773	58
10:40:05.030	53
10:40:21.174	52
10:40:21.174	47
10:40:23.221	46
10:40:23.448	44
10:40:23.549	40
10:52:29.779	37
10:52:29.779	36
10:52:29.779	25
10:52:29.832	1
10:52:30.014	-2
10:52:30.014	-5
10:53:44.310	-11
10:53:44.311	-12
10:53:44.311	-13
10:53:44.325	-18
10:53:44.446	-43
10:53:44.773	-44
10:53:44.773	-45
10:53:44.773	-47
10:53:44.773	-48
10:53:44.794	-50
10:53:44.795	-51
10:53:44.801	-54
10:53:44.832	-59
10:53:44.843	-60
10:53:56.708	-61
10:54:39.840	-67
10:58:49.194	-75
11:01:21.117	-76
11:01:21.117	-81
11:01:21.117	-82
11:01:21.117	-83
11:01:21.117	-84
11:01:21.118	-90
11:01:21.129	-96
11:01:21.129	-98
11:01:21.138	-100
11:01:21.138	-101
11:01:21.144	-103
11:01:21.170	-107
11:01:21.187	-108
11:01:21.187	-109
11:01:21.192	-117
11:01:21.243	-133
11:01:21.243	-134
11:01:21.294	-138
11:01:21.323	-144
11:01:21.347	-147
11:01:21.382	-160
11:01:27.128	-155
11:01:27.128	-153
11:01:27.128	-149
11:01:27.128	-147
11:01:27.128	-141
11:01:27.128	-101
11:01:27.128	-98
11:01:27.128	-97
11:01:27.128	-84
11:01:27.128	-79
11:01:27.128	-77
11:01:27.128	-76
11:01:27.128	-71
11:01:27.128	-68
11:01:27.128	-62
11:01:27.128	-57
11:01:27.128	-52
11:01:27.128	-42
11:01:27.128	-40
11:01:27.128	-30
11:01:27.128	-27
11:01:27.128	-22
11:01:27.128	-21
11:01:27.128	3
11:01:27.128	-21
11:01:31.709	-27
11:01:31.990	-31
11:01:31.990	-37
11:01:32.051	-62
11:01:32.051	-63
11:01:32.066	-67
11:01:34.960	-72
11:01:34.960	-74
11:01:34.960	-77
11:01:34.960	-83
11:01:44.018	-85
11:01:44.018	-91
11:01:44.018	-92
11:01:44.029	-98
11:01:44.029	-99
11:01:44.029	-101
11:01:44.030	-103
11:01:44.030	-105
11:01:44.031	-107
11:01:44.038	-108
11:01:44.039	-109
11:01:44.067	-113
11:01:44.067	-114
11:01:44.104	-118
11:01:44.201	-119
11:01:45.217	-121
11:01:45.217	-120
11:01:45.217	-21
11:01:45.217	-120
11:03:08.541	-112
11:03:19.567	-111
11:04:14.675	-108
11:04:14.675	-107
11:04:15.818	-102
11:04:52.419	-96
11:04:52.419	-95
11:04:52.419	-92
11:04:52.419	-91
11:04:53.834	-86
11:04:53.834	-85
11:04:53.834	-82
11:04:53.834	-81
11:05:14.403	-84
11:05:15.316	-78
11:05:15.316	-77
11:05:27.463	-67
11:05:27.463	-61
11:05:27.463	-60
11:05:27.463	-59
11:05:43.696	-19
11:05:45.957	-14
11:09:22.181	-17
11:09:48.445	-33
11:10:17.505	-39
11:11:20.904	-42
11:11:20.904	-43
11:11:20.926	-44
11:11:20.926	-45
11:11:20.926	-50
11:11:20.927	-53
11:11:20.927	-54
11:11:20.927	-55
11:11:20.927	-56
11:11:27.725	-57
11:11:38.074	-63
11:13:48.493	-69
11:13:48.493	-71
11:13:48.493	-73
11:13:48.493	-74
11:13:48.493	-75
11:13:48.493	-76
11:13:48.493	-82
11:22:44.007	-121
11:22:44.007	-127
11:22:44.007	-128
11:22:44.007	-129
11:23:20.430	-150
11:24:42.791	-156
11:25:00.532	-167
11:25:00.532	-173
11:25:00.532	-182
11:28:44.167	-176
11:28:44.297	-170
11:31:18.688	-169
11:31:18.688	-165
11:35:58.173	-159
11:35:58.173	-153
11:44:36.974	-148
11:44:36.974	-145
11:44:36.974	-144
11:44:36.974	-143
11:44:36.974	-141
11:44:36.974	-135
11:44:36.974	-133
11:44:36.974	-131
11:44:36.974	-130
11:44:36.974	-129
11:44:36.974	-128
11:44:36.974	-125
11:44:36.974	-122
11:44:36.974	-121
11:44:36.974	-118
11:44:36.974	-112
11:44:36.974	-171
11:44:36.974	-112
11:46:13.018	-114
11:46:13.018	-117
11:46:13.018	-119
11:46:13.018	-125
11:46:13.018	-126
11:46:13.018	-127
11:46:13.242	-132
11:49:14.466	-134
11:50:47.704	-148
11:50:47.704	-153
11:50:49.920	-143
11:50:49.920	-138
11:50:49.920	-137
11:50:49.920	-136
11:50:49.920	-135
11:50:49.920	-132
11:50:49.920	-131
11:50:49.920	-130
11:50:49.920	-105
11:50:49.920	-53
11:50:49.920	-105
11:51:53.641	-85
11:51:53.641	-79
11:54:40.165	-78
11:54:48.676	-77
11:54:48.676	-70
11:54:48.676	-64
11:54:48.676	-63
11:56:45.710	-53
11:56:45.710	-47
11:56:45.710	-46
11:57:33.519	-45
11:57:45.019	-39
11:57:45.102	-38
11:57:51.413	-21
11:57:54.319	-20
11:57:54.319	-19
11:58:41.425	-18
12:04:03.129	-12
12:04:11.579	-9
12:04:13.090	-6
12:04:13.090	-5
12:09:23.901	1
12:09:28.738	7
12:09:28.738	-87
12:09:28.738	7
12:09:28.796	1
12:09:32.944	-7
12:09:32.945	-13
12:09:34.987	-15
12:09:34.987	-16
12:09:53.279	-18
12:09:53.307	-23
12:12:34.704	-29
12:12:34.705	-30
12:13:38.146	-33
12:13:38.146	-34
12:13:38.146	-35
12:13:38.199	-40
12:13:38.207	-48
12:13:38.208	-64
12:13:38.301	-67
12:13:38.301	-70
12:13:38.301	-72
12:13:38.301	-73
12:13:38.301	-76
12:13:38.301	-79
12:14:29.882	-85
12:14:29.882	-87
12:14:29.882	-90
12:14:29.883	-91
12:14:37.525	-92
12:14:37.702	-93
12:15:13.204	-97
12:15:14.264	-98
12:15:14.264	-99
12:15:14.268	-104
12:15:14.284	-108
12:15:25.022	-112
12:15:25.150	-116
12:15:29.022	-122
12:15:29.022	-123
12:15:29.182	-127
12:15:30.517	-131
12:15:30.723	-127
12:15:30.723	-121
12:15:30.723	-118
12:15:30.849	-120
12:15:30.849	-121
12:15:30.849	-125
12:15:30.849	-126
12:15:30.849	-129
