Time_Position	Position
09:00:48.828	959
09:00:48.828	1000
09:00:50.206	2000
09:00:51.616	2449
09:01:00.954	3000
09:01:22.844	2900
09:01:37.662	2817
09:01:37.662	2000
09:05:38.678	3000
09:05:38.679	4000
09:05:38.706	3584
09:05:39.271	3006
09:05:39.276	3000
09:05:40.087	3584
09:05:40.130	4000
09:05:54.244	3584
09:05:54.244	3000
09:05:54.348	2000
09:05:54.348	1000
09:05:54.348	0
09:05:54.377	147
09:05:54.377	1000
09:06:00.276	0
09:06:01.764	1000
09:08:08.534	2000
09:08:08.534	3000
09:08:38.048	2300
09:08:38.271	2000
09:09:24.926	3000
09:09:24.926	3166
09:09:24.926	4000
09:09:24.926	5000
09:09:24.927	5615
09:09:24.927	6000
09:10:01.598	5800
09:10:03.039	6800
09:10:03.040	7800
09:10:03.074	6800
09:10:15.395	5800
09:10:44.816	6800
09:11:30.262	6500
09:11:30.262	6000
09:11:30.262	5000
09:11:30.262	4600
09:11:30.262	4000
09:11:30.262	3000
09:11:30.263	3029
09:11:30.263	3229
09:11:30.264	4000
09:11:30.266	4200
09:11:30.266	5000
09:11:55.097	4800
09:11:55.097	4000
09:12:00.605	4422
09:12:07.459	4922
09:12:35.349	3922
09:12:35.373	3050
09:12:35.373	2922
09:13:25.302	1922
09:13:25.302	922
09:13:25.302	-78
09:13:25.303	157
09:13:25.303	922
09:13:25.305	1172
09:13:25.305	1922
09:13:25.450	1672
09:13:25.450	922
09:13:25.451	1172
09:13:25.458	1922
09:13:44.639	1772
09:13:57.920	2072
09:13:57.920	2172
09:14:00.891	1872
09:14:01.585	1472
09:14:26.195	1322
09:14:27.819	422
09:14:27.819	322
09:14:27.820	522
09:14:27.820	1322
09:14:27.861	1122
09:14:27.861	872
09:14:27.861	322
09:14:37.896	-678
09:14:37.896	-1678
09:15:00.477	-2678
09:15:00.477	-3143
09:15:00.498	-3678
09:15:00.498	-4678
09:15:00.498	-5071
09:15:00.499	-5678
09:15:05.693	-4678
09:15:17.058	-5336
09:15:17.059	-5678
09:15:22.003	-5864
09:15:49.710	-6364
09:15:51.924	-6678
09:15:51.924	-6741
09:16:01.567	-6083
09:16:01.567	-5749
09:16:44.699	-5741
09:16:44.702	-4741
09:16:44.720	-5741
09:16:47.330	-4741
09:16:47.392	-4577
09:16:47.392	-4427
09:16:47.392	-3741
09:16:47.392	-2741
09:16:47.392	-1741
09:16:47.393	-2702
09:16:47.393	-2741
09:16:47.395	-1741
09:16:47.414	-1468
09:16:47.436	-741
09:16:53.751	-640
09:16:53.777	259
09:17:14.510	-741
09:17:14.510	-1741
09:17:14.510	-2741
09:17:14.510	-3741
09:17:14.510	-4741
09:17:51.760	-5678
09:17:51.760	-6678
09:17:51.760	-7678
09:17:51.760	-8314
09:17:51.760	-8678
09:18:20.710	-9391
09:18:20.710	-9678
09:18:20.781	-10678
09:18:20.781	-8746
09:18:20.781	-8178
09:18:45.298	-7178
09:20:34.464	-8178
09:21:12.233	-9178
09:22:22.750	-9214
09:23:14.622	-9234
09:23:14.622	-9314
09:23:34.991	-9614
09:24:02.169	-9634
09:24:02.169	-10178
09:24:02.169	-9614
09:24:02.169	-8614
09:24:02.169	-7678
09:27:02.390	-8678
09:27:59.145	-8128
09:27:59.145	-7678
09:28:38.623	-8228
09:28:38.623	-8678
09:28:38.645	-7978
09:28:38.645	-7678
09:29:14.429	-6897
09:29:14.429	-6678
09:31:17.958	-6554
09:34:02.899	-6534
09:34:02.899	-5984
09:34:02.899	-5678
09:34:02.899	-4678
09:35:03.667	-4304
09:35:57.833	-4284
09:35:57.833	-3678
09:36:34.061	-3204
09:36:34.061	-3000
09:36:34.061	-2930
09:36:34.061	-2904
09:37:42.548	-2678
09:46:16.165	-2760
09:46:16.165	-2778
09:46:18.189	-2860
09:46:18.189	-3678
09:46:18.189	-3696
09:46:55.311	-3778
09:46:55.311	-4678
09:48:01.508	-5006
09:48:01.508	-5678
09:48:01.508	-6006
09:48:01.508	-6566
09:48:01.508	-6678
09:48:01.556	-7678
09:48:01.582	-7596
09:48:01.615	-7514
09:48:01.657	-7432
09:48:12.933	-6678
09:48:13.001	-6679
09:48:40.777	-5679
09:48:40.777	-4680
09:48:40.777	-4679
09:48:40.798	-3679
09:50:53.581	-3650
09:50:53.581	-3630
09:50:53.581	-2679
09:51:08.270	-2251
09:51:08.270	-2231
09:51:08.270	-1679
09:54:28.525	-679
09:54:28.547	-1679
09:54:28.651	-2679
09:54:59.942	-3677
09:54:59.942	-3679
09:54:59.963	-4679
09:55:44.832	-3679
09:58:54.084	-4514
09:58:54.084	-4596
09:58:54.084	-4678
10:00:14.187	-5678
10:00:14.187	-6678
10:00:16.356	-7678
10:00:56.605	-8678
10:00:56.605	-8689
10:00:56.605	-9139
10:00:56.605	-9678
10:01:13.517	-8678
10:01:13.517	-7678
10:01:53.046	-8022
10:01:58.790	-8422
10:02:01.471	-8678
10:02:52.650	-7678
10:02:52.650	-6678
10:03:10.204	-6707
10:03:10.204	-6898
10:03:10.204	-7678
10:05:58.533	-6678
10:05:58.533	-6084
10:05:58.533	-5678
10:05:58.534	-4678
10:08:20.145	-3678
10:09:24.578	-2678
10:09:24.578	-1678
10:09:24.578	-678
10:09:24.580	322
10:09:24.581	-678
10:09:24.592	-1678
10:09:27.042	-1014
10:09:27.042	-678
10:09:29.510	122
10:09:29.510	322
10:09:29.510	922
10:09:29.510	1685
10:09:29.510	1922
10:09:29.510	2922
10:09:29.510	3479
10:09:29.510	3629
10:09:29.510	3922
10:09:29.510	4922
10:09:29.510	5922
10:10:14.749	6922
10:11:20.859	7100
10:13:07.667	6924
10:13:40.850	6100
10:13:40.850	5324
10:13:40.850	5100
10:13:40.850	4100
10:13:40.850	3100
10:14:01.035	2100
10:14:01.036	1100
10:14:44.140	2100
10:14:44.142	3100
10:15:20.636	3081
10:15:33.314	2981
10:15:54.224	2100
10:15:54.273	3100
10:15:54.322	4100
10:17:13.463	3497
10:17:18.045	3100
10:17:35.119	2952
10:17:39.175	3952
10:18:24.745	3100
10:18:24.745	2100
10:18:24.745	1191
10:18:24.745	1100
10:19:09.144	100
10:19:11.105	-900
10:19:11.105	-1398
10:19:11.105	-1900
10:19:11.105	-2097
10:19:12.153	-2807
10:19:12.153	-2900
10:19:12.153	-3900
10:19:12.153	-4900
10:19:12.202	-4824
10:19:12.202	-4168
10:19:12.206	-3900
10:21:38.793	-2900
10:21:38.793	-1900
10:21:50.706	-2900
10:22:02.852	-1900
10:22:23.510	-900
10:23:14.008	-1000
10:23:19.726	-1100
10:23:19.726	-1900
10:23:19.730	-1100
10:23:19.730	-900
10:23:19.736	100
10:23:19.747	1100
10:24:00.167	100
10:24:05.510	300
10:24:05.510	1100
10:24:05.510	2100
10:24:05.510	3100
10:24:05.511	4100
10:24:05.512	4505
10:24:05.512	5100
10:24:05.512	5688
10:24:05.512	6100
10:24:05.512	7088
10:24:05.512	7100
10:24:09.069	8100
10:26:57.227	8869
10:26:57.227	9100
10:28:46.734	10100
10:28:46.734	9650
10:28:46.734	7600
10:29:28.954	8100
10:29:28.976	8600
10:29:38.681	9600
10:30:53.585	9877
10:30:53.585	10465
10:30:53.585	10600
10:30:53.585	9774
10:30:53.585	9497
10:30:53.585	8909
10:30:53.585	8100
10:32:14.138	7100
10:32:14.138	6100
10:32:14.138	5444
10:32:14.159	5100
10:32:14.159	4100
10:32:14.159	3100
10:32:14.159	2100
10:32:14.159	1744
10:32:14.160	1100
10:32:15.278	2100
10:32:53.511	2909
10:32:53.511	3100
10:32:53.511	3238
10:32:53.511	4100
10:32:53.532	5100
