Time_Position	Position
09:00:00.534	-100
09:00:00.942	0
09:00:16.784	-100
09:01:50.315	0
09:04:28.906	100
09:05:16.019	0
09:06:07.732	-100
09:06:13.917	0
09:06:51.069	100
09:07:23.007	200
09:07:24.194	173
09:07:24.194	100
09:07:24.754	200
09:07:53.540	300
09:08:01.241	200
09:10:09.588	100
09:10:59.362	200
09:11:49.974	100
09:11:49.996	200
09:12:06.018	100
09:12:06.018	200
09:12:19.054	100
09:14:19.042	200
09:17:26.103	300
09:20:52.929	200
09:20:53.946	100
09:22:52.350	200
09:27:14.920	300
09:27:27.802	200
09:27:37.040	228
09:27:37.040	300
09:29:39.095	400
09:36:11.293	300
09:36:11.319	200
09:37:01.526	300
09:37:01.527	400
09:37:20.587	500
09:37:21.176	495
09:37:21.240	400
09:37:26.127	495
09:37:26.127	500
09:38:16.653	400
09:38:16.653	500
09:38:16.653	600
09:38:16.653	500
09:38:16.666	600
09:38:16.667	700
09:38:51.662	800
09:38:52.028	900
09:38:58.497	1000
09:38:58.497	900
09:41:11.873	1000
09:41:27.698	1100
09:41:27.698	1200
09:42:31.558	1300
09:42:32.532	1400
09:45:57.971	1500
09:45:59.053	1400
09:49:14.470	1500
09:50:57.217	1600
09:51:10.231	1500
09:51:10.241	1600
09:55:30.644	1599
09:55:30.664	1699
09:56:40.077	1799
10:07:22.701	1778
10:07:22.701	1699
10:07:22.701	1768
10:07:22.701	1799
10:07:22.702	1699
10:08:29.718	1799
10:08:39.643	1699
10:08:47.392	1599
10:10:13.424	1499
10:10:13.618	1399
10:10:13.618	1499
10:10:13.639	1399
10:14:04.025	1499
10:14:04.025	1495
10:14:04.025	1399
10:17:01.498	1499
10:19:06.890	1399
10:20:22.135	1499
10:24:33.695	1399
10:27:13.004	1499
10:28:28.841	1599
10:28:28.908	1499
10:29:10.948	1599
10:32:07.334	1499
10:32:07.334	1587
10:32:07.334	1599
10:32:11.050	1699
10:32:15.320	1599
10:34:02.021	1699
10:34:02.486	1764
10:34:02.518	1799
10:34:16.644	1899
10:34:16.682	1999
10:34:17.850	2099
10:36:05.903	2199
10:37:00.209	2099
10:37:00.352	2199
10:37:21.061	2299
10:37:21.061	2199
10:37:21.063	2099
10:37:24.017	1999
10:41:30.797	2099
10:41:30.797	1999
