Time_Position	Position
09:00:00.553	-100
09:00:01.143	0
09:00:01.218	-100
09:00:12.735	-200
09:03:13.608	-300
09:03:22.131	-400
09:03:22.131	-300
09:04:45.024	-200
09:05:08.028	-300
09:05:17.025	-400
09:05:34.874	-300
09:06:36.872	-400
09:06:37.127	-300
09:06:37.260	-289
09:07:03.445	-349
09:07:03.469	-389
09:07:19.620	-289
09:07:45.539	-189
09:07:48.001	-89
09:07:48.049	-189
09:07:48.050	-89
09:07:52.156	-189
09:09:46.377	-89
09:11:49.972	-6
09:11:49.972	11
09:12:15.444	-69
09:12:27.412	-169
09:12:54.467	-269
09:12:54.722	-169
09:13:03.467	-269
09:13:09.467	-369
09:14:41.354	-355
09:14:41.354	-255
09:15:59.604	-155
09:16:23.399	-255
09:16:23.399	-248
09:16:23.399	-155
09:16:23.399	-55
09:16:23.400	-155
09:16:23.400	-148
09:16:23.400	-55
09:16:23.613	45
09:16:40.167	145
09:16:40.188	45
09:16:40.189	145
09:16:44.435	245
09:17:35.804	345
09:17:35.944	445
09:17:35.944	545
09:17:35.944	645
09:18:05.842	545
09:18:16.869	570
09:18:16.869	645
09:18:16.971	642
09:18:18.915	545
09:18:18.925	445
09:18:18.936	545
09:19:23.700	645
09:19:23.722	545
09:19:23.916	645
09:19:47.512	745
09:20:17.971	845
09:20:26.183	878
09:20:26.183	945
09:20:26.183	845
09:20:26.205	945
09:22:06.091	845
09:22:16.361	745
09:22:24.821	746
09:22:24.824	748
09:22:26.347	845
09:23:02.477	945
09:23:02.829	1045
09:23:02.829	1145
09:23:03.061	1245
09:23:03.082	1345
09:23:20.927	1445
09:24:09.785	1545
09:24:10.053	1548
09:24:10.054	1645
09:24:10.054	1545
09:24:10.177	1645
09:24:10.177	1545
09:24:28.412	1645
09:24:45.418	1545
09:24:45.421	1645
09:24:45.558	1745
09:25:19.553	1645
09:25:19.706	1745
09:27:34.317	1645
09:27:36.556	1745
09:27:44.329	1845
09:27:44.329	1938
09:27:44.329	1945
09:27:44.678	2045
09:28:04.416	2145
09:28:37.242	2245
09:28:38.431	2145
09:28:53.022	2148
09:29:34.953	2151
09:29:35.027	2248
09:29:43.756	2148
09:30:12.902	2248
09:30:24.233	2348
09:30:33.923	2448
09:30:33.923	2548
09:30:38.555	2648
09:30:38.555	2548
09:30:38.801	2448
09:31:35.322	2548
09:31:40.107	2466
09:31:59.077	2448
09:33:01.584	2548
09:33:01.690	2648
09:33:04.808	2748
09:33:05.596	2848
09:33:22.707	2748
09:33:22.922	2848
09:33:22.922	2948
09:35:38.605	2848
09:35:38.605	2948
09:36:43.948	3048
09:36:43.974	3148
09:36:44.014	3248
09:36:53.199	3348
09:37:11.299	3248
09:38:09.599	3348
09:38:09.894	3448
09:38:09.894	3548
09:38:10.105	3648
09:38:10.105	3575
09:38:10.105	3548
09:38:10.171	3448
09:39:37.168	3548
09:39:37.542	3648
09:39:37.544	3748
09:39:45.836	3648
09:40:01.241	3548
09:40:15.620	3448
09:40:15.620	3548
09:40:15.620	3448
09:40:38.109	3548
09:41:31.169	3648
09:41:54.997	3548
09:42:03.847	3448
09:42:35.441	3548
09:42:35.445	3648
09:42:38.139	3748
09:43:52.648	3648
09:44:07.416	3548
09:44:07.662	3648
09:44:12.015	3548
09:44:12.015	3648
09:45:06.887	3748
09:45:06.887	3648
09:45:27.119	3646
09:45:27.274	3548
09:45:27.274	3648
09:45:27.274	3548
09:46:42.415	3648
09:46:42.593	3748
09:46:42.593	3648
09:46:46.626	3748
09:47:34.264	3648
09:47:42.429	3748
09:48:08.167	3750
09:48:08.287	3848
09:48:43.962	3748
09:48:49.939	3648
09:48:52.026	3748
09:48:52.281	3848
09:48:52.303	3748
09:48:52.303	3848
09:48:56.092	3948
09:48:56.092	3848
09:48:56.140	3914
09:48:56.140	3880
09:48:56.140	3914
09:48:56.365	3848
09:48:56.401	3914
09:48:56.401	3880
09:48:56.401	3914
09:48:56.401	3848
09:49:06.695	3748
09:50:31.080	3648
09:50:31.080	3748
09:50:49.900	3648
09:52:06.550	3548
09:52:06.572	3648
09:52:06.733	3748
09:52:06.733	3648
09:52:06.756	3548
09:52:06.756	3448
09:52:10.594	3514
09:52:10.741	3548
09:52:16.970	3448
09:52:16.970	3548
09:52:17.088	3598
09:52:45.325	3648
09:53:56.099	3748
09:53:59.837	3648
09:54:00.040	3548
09:54:00.105	3448
09:54:00.105	3548
09:54:06.327	3448
09:55:21.856	3548
09:55:21.856	3448
09:55:22.239	3348
09:55:22.239	3448
09:56:22.519	3548
09:56:22.519	3448
09:56:32.103	3548
09:56:32.103	3648
09:56:32.103	3748
09:56:32.160	3648
09:59:12.704	3649
09:59:12.704	3748
09:59:59.060	3648
09:59:59.268	3716
09:59:59.521	3748
10:00:00.064	3716
10:00:27.271	3648
10:00:28.419	3748
10:00:39.033	3755
10:00:39.033	3662
10:00:39.033	3755
10:00:39.033	3748
10:01:01.506	3648
10:01:06.572	3548
10:01:58.714	3648
10:01:58.714	3548
10:02:14.914	3648
10:03:13.979	3748
10:03:13.979	3648
10:03:14.025	3748
10:03:14.025	3848
10:03:18.170	3948
10:03:22.133	4048
10:03:22.134	4148
10:03:55.929	4048
10:03:55.930	4148
10:03:55.951	4248
10:03:56.159	4148
10:04:48.726	4248
10:04:58.055	4148
10:04:58.055	4248
10:04:58.256	4148
10:05:51.164	4248
10:05:51.399	4348
10:06:42.834	4448
10:06:42.834	4548
10:06:56.247	4448
10:08:28.468	4548
10:09:52.641	4648
10:10:08.997	4548
10:10:09.198	4648
10:10:09.227	4548
10:10:13.492	4448
10:10:13.492	4548
10:12:31.000	4448
10:12:31.000	4548
10:12:53.860	4643
10:12:53.860	4743
10:14:04.363	4746
10:14:04.475	4846
10:14:04.475	4946
10:14:04.636	5046
10:14:08.286	5146
10:15:23.676	5046
10:15:55.724	4946
10:17:46.257	5046
10:17:46.257	4946
10:18:40.250	4846
10:18:45.619	4946
10:18:53.847	4941
10:18:53.847	4846
10:18:53.847	4941
10:19:01.296	4943
10:19:01.296	4845
10:19:01.296	4943
10:19:01.426	4941
10:19:01.456	5041
10:19:12.106	5141
10:19:12.106	5241
10:19:31.814	5326
10:19:38.854	5426
10:19:38.855	5526
10:19:43.166	5626
10:20:09.147	5526
10:20:09.147	5626
10:20:30.233	5526
10:20:30.233	5626
10:22:52.182	5705
10:22:52.182	5726
10:23:11.214	5647
10:23:11.214	5626
10:23:11.452	5526
10:25:29.771	5626
10:25:29.882	5726
10:25:29.885	5826
10:25:38.979	5926
10:25:44.174	5826
10:26:12.621	5726
10:27:12.781	5826
10:27:23.128	5726
10:27:26.438	5626
10:28:47.577	5726
10:29:37.053	5626
10:29:37.313	5726
10:30:19.182	5626
10:30:25.443	5726
10:30:25.469	5826
10:30:25.469	5726
10:30:25.637	5826
10:30:26.777	5726
10:30:26.798	5626
10:30:27.339	5526
10:30:27.461	5626
10:32:45.799	5726
10:32:45.799	5826
10:32:45.800	5926
10:33:02.109	6026
10:33:02.130	5926
10:33:02.130	5826
10:33:02.154	5827
10:33:02.158	5829
10:33:02.160	5830
10:33:02.160	5926
10:33:02.160	5826
10:33:02.160	5926
10:33:04.843	5826
10:33:12.052	5926
10:35:51.306	5826
10:36:24.967	5926
10:37:09.188	5826
10:39:21.239	5726
10:39:21.249	5826
10:40:20.810	5926
10:40:20.810	6026
10:40:20.810	6111
10:40:20.831	6211
10:40:20.920	6111
10:40:31.946	6011
10:40:31.946	6111
10:40:32.449	6011
10:40:34.795	5911
10:40:35.154	5912
10:40:35.154	5913
10:40:36.162	5813
10:40:38.746	5713
10:41:07.404	5613
10:43:28.313	5616
10:43:28.422	5713
10:43:28.422	5613
10:43:28.677	5713
10:43:28.677	5613
10:43:44.906	5713
10:43:44.906	5613
10:43:46.265	5713
10:45:56.869	5716
10:45:57.028	5813
10:46:10.068	5843
10:46:10.148	5913
10:48:07.477	6013
10:48:07.477	6113
10:48:07.477	6213
10:51:24.656	6313
10:51:24.656	6413
10:51:28.545	6313
10:53:27.506	6413
10:53:27.506	6513
10:55:42.043	6413
10:55:42.043	6513
10:56:09.684	6413
10:59:54.235	6513
10:59:54.237	6613
10:59:57.738	6713
11:00:11.971	6613
11:01:10.860	6513
11:01:19.467	6413
11:02:25.056	6313
11:02:25.056	6413
11:02:25.078	6513
11:02:25.078	6413
11:03:00.423	6513
11:07:36.352	6613
11:07:36.374	6513
11:07:40.539	6613
11:07:40.585	6713
11:07:40.585	6706
11:07:40.585	6799
11:07:40.585	6706
11:07:40.585	6713
11:07:44.560	6813
11:08:28.925	6913
11:09:10.443	7013
11:11:08.057	7113
11:12:11.994	7111
11:12:11.994	7013
11:14:22.632	7113
11:16:38.853	7213
11:16:49.679	7113
11:17:45.325	7213
11:19:13.453	7264
11:19:13.453	7313
11:19:17.443	7413
11:19:17.465	7313
11:19:17.664	7413
11:19:17.664	7313
11:19:22.003	7413
11:19:54.167	7513
11:20:07.570	7413
11:20:07.614	7313
11:20:22.536	7213
11:22:46.764	7313
11:23:05.873	7311
11:23:05.873	7310
11:23:06.008	7213
11:23:37.366	7113
11:27:51.282	7013
